Comment,Designator,Footprint,LCSC,Quantity
100,"R7,R8",R_0603_1608Metric,C22775,2
100n,"C12,C7,C8,C9",C_0603_1608Metric,C14663,4
10u,C11,C_0805_2012Metric,C15850,1
1u,"C10,C6",C_0805_2012Metric,C28323,2
ADS1220xPW,U1,TSSOP-16_4.4x5mm_P0.65mm,C48263,1
RS3236-3.3,U5,SOT-23-5,C379349,1
