Comment,Designator,Footprint,LCSC,Quantity
100,"R1,R2,R3,R4,R5,R6,R7,R8",R_0603_1608Metric,C22775,8
100n,"C10,C11,C12,C13,C14,C17,C20,C21,C22,C23,C24,C9",C_0603_1608Metric,C14663,12
10k,"R10,R9",R_0603_1608Metric,C25804,2
10u,C19,C_0805_2012Metric,C15850,1
1u,"C16,C18",C_0805_2012Metric,C28323,2
220n,C15,C_0603_1608Metric,C21120,1
ADS131M04xPW,U1,TSSOP-20_4.4x6.5mm_P0.65mm,C2862562,1
RS3236-3.3,U2,SOT-23-5,C379349,1
SiT8008xx-7x-xxE,Y1,Oscillator_SMD_SiT_PQFN-4Pin_2.0x1.6mm,C347672,1
