Comment,Designator,Footprint,LCSC,Quantity
100,"R7,R8",R_0603_1608Metric,C22775,2
100n,"C12,C7,C8,C9",C_0603_1608Metric,C14663,4
10k,"R10,R11,R12",R_0603_1608Metric,C25804,3
10u,C11,C_0805_2012Metric,C15850,1
1u,"C10,C6",C_0805_2012Metric,C28323,2
HX717,U6,SOP-16_3.9x9.9mm_P1.27mm,C575394,1
RS3236-3.3,U5,SOT-23-5,C379349,1
